CAND_ID,degree_in,degree_in_raw,degree_out,degree_out_raw,pagerank,katz,CANDIDATE NAME,chairs_next,chairs_now,total,negative,positive,absolute,HyPAC,PAC,SupPAC,CAND_PTY_AFFILIATION,CAND_OFFICE_ST,cumulative_occurrence,24E,24A,total_24a_positive,total_24e_positive
H6NJ13191,0.0,0,0.018433179723502304,8,0.0013328476554007012,0.01724366998569413,"Sires, Albio ",0,0,295448.0,-18.5,313.948,332.448,0.0,81.0,2.0,DEM,NJ,6,2.0,0.0,0.0,0.138
H6NJ05171,0.06682027649769585,29,0.0,0,0.002845563529235373,0.08125163008012727,"Gottheimer, Josh",0,0,1726508.0,-21.0,1747.508,1768.508,4.0,359.0,5.0,DEM,NJ,2,5.0,0.0,0.0,58.442
H8TX22107,0.01152073732718894,5,0.002304147465437788,1,0.0016754717989166238,0.026037941678398138,"Olson, Pete",0,0,995342.0,-16.55,1011.892,1028.442,1.0,256.0,3.0,REP,TX,6,1.0,1.0,31.595,0.045
H0TX23086,0.0576036866359447,25,0.0,0,0.007596327028627786,0.07344338620492728,"Hurd, Will ",0,0,5486031.0,-221.231,5707.262,5928.493,5.0,423.0,8.0,REP,TX,3,4.0,4.0,2017.277,68.958
H0IL11052,0.006912442396313364,3,0.02534562211981567,11,0.005184164222335625,0.026996396156810973,"Kinzinger, Adam",0,0,1155634.0,-24.5,1180.134,1204.634,3.0,269.0,0.0,REP,IL,5,0.0,0.0,0.0,0.0
H6FL18097,0.04838709677419355,21,0.0,0,0.0037025954682561478,0.06121251920760682,"Mast, Brian",0,0,3251451.0,-31.0,3282.451,3313.451,4.0,265.0,10.0,REP,FL,2,5.0,5.0,778.029,188.458
H8KS04112,0.018433179723502304,8,0.01152073732718894,5,0.0024767085393130337,0.034826032604177604,"Estes, Ron",0,0,973072.0,-2.5,975.572,978.072,1.0,180.0,2.0,REP,KS,1,2.0,0.0,0.0,25.276
H6PA08277,0.05069124423963134,22,0.0,0,0.004674162234771731,0.06483814895091461,"Fitzpatrick, Brian",0,0,5713757.0,-26.7,5740.457,5767.157,6.0,297.0,9.0,REP,PA,2,6.0,3.0,1930.138,1153.814
H2FL06109,0.002304147465437788,1,0.03917050691244239,17,0.001344200017876127,0.019605534263302787,"Yoho, Ted",0,0,276045.0,-7.0,283.045,290.045,2.0,83.0,1.0,REP,FL,4,0.0,1.0,10.75,0.0
H4TX19136,0.0,0,0.016129032258064516,7,0.0013328476554007012,0.01724366998569413,"Conaway, Mike",1,1,1222330.0,-18.5,1240.83,1259.33,0.0,273.0,0.0,REP,TX,6,0.0,0.0,0.0,0.0
H8MD01094,0.002304147465437788,1,0.027649769585253454,12,0.001434960228001792,0.01916409223854173,"Harris, Andy",0,0,540596.0,-20.05,560.646,580.696,1.0,144.0,2.0,REP,MD,5,1.0,0.0,0.0,0.999
H4WV02080,0.01152073732718894,5,0.0,0,0.003728558628347881,0.028646683042224095,"Mooney, Alex X.",0,0,743757.0,-10.5,754.257,764.757,2.0,188.0,0.0,REP,WV,3,0.0,0.0,0.0,0.0
H6GA03113,0.004608294930875576,2,0.06682027649769585,29,0.0013847969236498413,0.021783926634603653,"Ferguson, Drew",0,0,678156.0,-31.5,709.656,741.156,2.0,172.0,0.0,REP,GA,2,0.0,0.0,0.0,0.0
H8MT01182,0.02534562211981567,11,0.0,0,0.002401790894912619,0.040366220916219844,"Gianforte, Greg",0,0,2116954.0,-35.25,2152.204,2187.454,5.0,141.0,5.0,REP,MT,1,4.0,1.0,193.469,201.208
H6IL18088,0.006912442396313364,3,0.03917050691244239,17,0.0016562438901157326,0.02348013488355642,"LaHood, Darin",0,0,1407171.0,-13.999,1421.17,1435.169,1.0,345.0,0.0,REP,IL,2,0.0,0.0,0.0,0.0
H4WI06048,0.027649769585253454,12,0.0,0,0.002478182070509748,0.04243523886615966,"Grothman, Glenn ",0,0,1031676.0,-18.05,1049.726,1067.776,2.0,169.0,3.0,REP,WI,3,1.0,1.0,325.286,1.513
H6MI01226,0.03917050691244239,17,0.0,0,0.004594380066982859,0.052548971973987085,"Bergman, Jack",0,0,796947.0,-9.5,806.447,815.947,2.0,188.0,2.0,REP,MI,2,2.0,0.0,0.0,2.433
H8CA05035,0.002304147465437788,1,0.16359447004608296,71,0.0015841870402027892,0.020379292408270307,"Pelosi, Nancy ",1,1,3385280.0,-179.167,3564.447,3743.614,2.0,190.0,3.0,DEM,CA,6,2.0,1.0,1910.48,0.137
H0CA03078,0.04377880184331797,19,0.0,0,0.0021808445555257143,0.0543138035087891,"Bera, Ami",0,0,1164480.0,-20.5,1184.98,1205.48,6.0,259.0,4.0,DEM,CA,4,4.0,0.0,0.0,12.923
H2IL10068,0.06451612903225806,28,0.06451612903225806,28,0.004075699633292312,0.07476193822924584,"Schneider, Brad",0,0,1097900.0,-21.5,1119.4,1140.9,3.0,285.0,1.0,DEM,IL,3,1.0,0.0,0.0,0.07
H2NY22139,0.016129032258064516,7,0.0,0,0.00147283045625821,0.030398254128763864,"Maloney, Sean Patrick",0,0,807957.0,-56.53,864.487,921.017,1.0,185.0,2.0,DEM,NY,4,2.0,0.0,0.0,9.37
H6FL13205,0.05069124423963134,22,0.002304147465437788,1,0.0022901096063780695,0.06827797483985922,"Crist, Charlie",0,0,907442.0,-10.0,917.442,927.442,1.0,225.0,2.0,DEM,FL,2,2.0,0.0,0.0,0.137
H6IA02146,0.06451612903225806,28,0.006912442396313364,3,0.003210626553154368,0.07096778492470152,"Loebsack, Dave",0,0,1041374.0,-14.0,1055.374,1069.374,5.0,264.0,2.0,DEM,IA,6,2.0,0.0,0.0,0.137
H2CA36439,0.08064516129032258,35,0.0,0,0.004408163986953274,0.0895667225053423,"Ruiz, Raul",0,0,1163316.0,-40.0,1203.316,1243.316,4.0,262.0,4.0,DEM,CA,4,3.0,1.0,3.45,23.803
H6FL07140,0.0944700460829493,41,0.0,0,0.005588078718503109,0.1081975278550357,"Murphy, Stephanie",0,0,1630250.0,-29.1,1659.35,1688.45,3.0,327.0,6.0,DEM,FL,2,5.0,1.0,23.878,140.118
H6IL08147,0.03225806451612903,14,0.002304147465437788,1,0.0018197730220572742,0.045007797146990526,"Krishnamoorthi, Raja ",0,0,910157.0,-10.5,920.657,931.157,2.0,230.0,2.0,DEM,IL,2,2.0,0.0,0.0,0.137
H0NH02181,0.02304147465437788,10,0.07373271889400922,32,0.0016345938183041629,0.03575911759384827,"Kuster, Ann McLane",0,0,224131.0,-4.333,228.464,232.797,1.0,54.0,3.0,DEM,NH,4,3.0,0.0,0.0,2.428
H6NY03247,0.059907834101382486,26,0.002304147465437788,1,0.003201423293724601,0.07011775410065874,"Suozzi, Thomas R.",0,0,764304.0,-9.0,773.304,782.304,2.0,178.0,0.0,DEM,NY,2,0.0,0.0,0.0,0.0
H2CA00120,0.05529953917050691,24,0.10138248847926268,44,0.002303043569267411,0.06252244535949966,"Brownley, Julia",0,0,860715.0,-16.083,876.798,892.881,2.0,196.0,2.0,DEM,CA,4,2.0,0.0,0.0,23.736
H6AZ01199,0.08294930875576037,36,0.0,0,0.0033328497135188782,0.10547700516959513,"O'Halleran, Tom",0,0,1187603.0,-5.0,1192.603,1197.603,3.0,233.0,4.0,DEM,AZ,2,2.0,2.0,39.593,0.137
H2IL17071,0.06912442396313365,30,0.14516129032258066,63,0.005150120021529214,0.08824791567838229,"Bustos, Cheri",0,0,1569401.0,-16.53,1585.931,1602.461,2.0,377.0,1.0,DEM,IL,4,1.0,0.0,0.0,0.07
H2CA52089,0.027649769585253454,12,0.002304147465437788,1,0.0018342441838728604,0.03963815599396815,"Peters, Scott",0,0,1484088.0,-40.5,1524.588,1565.088,1.0,350.0,2.0,DEM,CA,4,2.0,0.0,0.0,0.137
H6CA24303,0.08525345622119816,37,0.0,0,0.0038024483916747538,0.09693684746326234,"Carbajal, Salud",0,0,732294.0,-8.5,740.794,749.294,5.0,177.0,2.0,DEM,CA,2,1.0,1.0,72.588,0.07
H2MD05155,0.0,0,0.195852534562212,85,0.0013328476554007012,0.01724366998569413,"Hoyer, Steny H.",1,1,2628813.0,-48.5,2677.313,2725.813,2.0,374.0,3.0,DEM,MD,6,3.0,0.0,0.0,1.047
H6TX15162,0.016129032258064516,7,0.002304147465437788,1,0.0018503887959278767,0.03126808219321941,"Gonzalez, Vicente",0,0,646682.0,-21.0,667.682,688.682,1.0,176.0,1.0,DEM,TX,2,1.0,0.0,0.0,0.07
