CAND_ID,degree_in,degree_in_raw,degree_out,degree_out_raw,pagerank,katz,CANDIDATE NAME,in_closeness,out_closeness,total,negative,positive,absolute,PAC,CAND_PTY_AFFILIATION,CAND_OFFICE_ST,cumulative_occurrence,24E,24A,total_24a_positive,total_24e_positive,chairs_next,chairs_now
H6MD07160,0.006912442396313364,3,0.02304147465437788,10,0.0009295175972792542,0.022252653711917106,"Cummings, Elijah",0.012561320053515682,0.056678211256452095,485862,-16.676,502.538,519.214,144,DEM,MD,1,0.0,0.0,0.0,0.0,0,0
H0TX07055,0.04608294930875576,20,0.004608294930875576,2,0.003112724776180356,0.061764362673623764,"Culberson, John",0.06145169048394855,0.04998828399593845,524831,-7.0,531.831,538.831,152,REP,TX,1,0.0,0.0,0.0,0.0,0,0
H8NY07046,0.0,0,0.020737327188940093,9,0.0008717652851550921,0.016321097464222955,"Crowley, Joseph",0.0,0.09169033329761012,1239033,-38.608,1277.641,1316.249,336,DEM,NY,1,0.0,0.0,0.0,0.0,0,0
H6OR04047,0.002304147465437788,1,0.027649769585253454,12,0.0009382364644853073,0.01813455273802549,"DeFazio, Peter A.",0.0,0.0630882066593107,445714,-16.0,461.714,477.714,140,DEM,OR,1,0.0,0.0,0.0,0.0,0,0
H0VA08040,0.0,0,0.018433179723502304,8,0.0008717652851550921,0.016321097464222955,"Moran, James P. ""Jim,"" Jr.",0.0,0.06250133962061945,499999,-13.5,513.499,526.999,129,DEM,VA,1,0.0,0.0,0.0,0.0,0,0
H6TN09068,0.029953917050691243,13,0.006912442396313364,3,0.0015411489685396925,0.04461686597764717,"Cohen, Steve",0.1061120543293718,0.04532677720240075,415225,-21.0,436.225,457.225,143,DEM,TN,1,0.0,0.0,0.0,0.0,0,0
H2OH09031,0.0,0,0.04377880184331797,19,0.0008717652851550921,0.016321097464222955,"Kaptur, Marcy",0.0,0.07109940750493746,299135,-1.0,300.135,301.135,101,DEM,OH,1,0.0,0.0,0.0,0.0,0,0
H2LA05084,0.0,0,0.006912442396313364,3,0.0008717652851550921,0.016321097464222955,"Alexander, Rodney",0.0,0.057652711050102945,226537,-7.5,234.037,241.537,90,REP,LA,1,0.0,0.0,0.0,0.0,0,0
H0AR04038,0.0,0,0.004608294930875576,2,0.0008717652851550921,0.016321097464222955,"Ross, Mike",0.0,0.005184331797235023,1095028,-34.7,1129.728,1164.428,315,DEM,AR,1,0.0,0.0,0.0,0.0,0,0
H2PA18143,0.020737327188940093,9,0.002304147465437788,1,0.0016938561217191726,0.03676326796474384,"Murphy, Tim",0.05480826448568384,0.04915514592933948,927891,-8.65,936.541,945.191,255,REP,PA,1,0.0,0.0,0.0,0.0,0,0
H2IL20042,0.002304147465437788,1,0.018433179723502304,8,0.00113287938619803,0.02282323659870659,"Shimkus, John M.",0.05199758425564878,0.04415132867904744,818241,-17.3,835.541,852.841,298,REP,IL,1,0.0,0.0,0.0,0.0,0,0
H2AL03032,0.016129032258064516,7,0.009216589861751152,4,0.0023475060162595806,0.04085281301002518,"Rogers, Mike",0.06337205581157195,0.060436654831155096,495894,-18.35,514.244,532.594,161,REP,AL,1,0.0,0.0,0.0,0.0,0,0
H4TX02108,0.002304147465437788,1,0.006912442396313364,3,0.00113287938619803,0.02282323659870659,"Poe, Ted",0.051556926761956834,0.05441529069668577,237789,-11.7,249.489,261.189,103,REP,TX,1,0.0,0.0,0.0,0.0,0,0
H2FL25018,0.0576036866359447,25,0.03686635944700461,16,0.0057026033015102045,0.08449019047077078,"Diaz-Balart, Mario",0.07419167509647447,0.06642587287748578,1267642,-19.5,1287.142,1306.642,196,REP,FL,1,0.0,0.0,0.0,0.0,0,0
H0CT03072,0.002304147465437788,1,0.08986175115207373,39,0.0008944846784915623,0.01850374855969155,"DeLauro, Rosa L.",0.008361825479411328,0.10176794065749577,674296,-17.0,691.296,708.296,193,DEM,CT,1,0.0,0.0,0.0,0.0,0,0
