CAND_ID,degree_in,degree_in_raw,degree_out,degree_out_raw,pagerank,katz,CANDIDATE NAME,chairs_next,chairs_now,total,negative,positive,absolute,HyPAC,PAC,SupPAC,CAND_PTY_AFFILIATION,CAND_OFFICE_ST,cumulative_occurrence,24E,24A,total_24a_positive,total_24e_positive
H6TN09068,0.0,0,0.02534562211981567,11,0.0013469695484300797,0.01686799377926688,"Cohen, Steve",0,0,401530.0,-7.0,408.53,415.53,3.0,115.0,2.0,DEM,TN,8,2.0,0.0,0.0,0.018
H8GA06393,0.06451612903225806,28,0.0,0,0.0033650040477602697,0.07668390490044022,"McBath, Lucy",0,0,5591084.0,-78.078,5669.162,5747.24,18.0,138.0,10.0,DEM,GA,3,9.0,1.0,5.0,3049.593
H2TX03126,0.002304147465437788,1,0.009216589861751152,4,0.0013530666692378771,0.018742215310277793,"Sessions, Pete",0,0,542400.0,-36.127,578.527,614.654,2.0,142.0,2.0,REP,TX,7,1.0,1.0,0.127,0.084
H4NC05146,0.016129032258064516,7,0.0,0,0.0029405380428904103,0.044075362712338924,"Foxx, Virginia",1,1,828227.0,-13.933,842.16,856.093,3.0,183.0,0.0,REP,NC,8,0.0,0.0,0.0,0.0
H2NC07096,0.002304147465437788,1,0.08294930875576037,36,0.0013530666692378771,0.018742215310277793,"Rouzer, David",0,0,829379.0,-45.05,874.429,919.479,1.0,190.0,0.0,REP,NC,5,0.0,0.0,0.0,0.0
H4NY22051,0.04838709677419355,21,0.0,0,0.0023838130322453178,0.06831521385753804,"Tenney, Claudia",0,0,671683.0,-32.073,703.756,735.829,6.0,178.0,2.0,REP,NY,3,1.0,1.0,0.008,0.156
H2LA05126,0.04608294930875576,20,0.002304147465437788,1,0.009126112094228181,0.07843409189617087,"Letlow, Julia",0,0,831585.0,-19.296,850.881,870.177,6.0,221.0,1.0,REP,LA,1,1.0,0.0,0.0,20.03
H2MD05155,0.0,0,0.1543778801843318,67,0.0013469695484300797,0.01686799377926688,"Hoyer, Steny",0,1,2287592.0,-40.1,2327.692,2367.792,4.0,334.0,3.0,DEM,MD,8,3.0,0.0,0.0,0.488
H8PA15229,0.1336405529953917,58,0.0,0,0.007099520184533636,0.165811818108151,"Wild, Susan",1,1,12588182.0,-22.951,12611.133,12634.084,14.0,242.0,13.0,DEM,PA,3,9.0,3.0,820.577,364.911
H8MI11254,0.05069124423963134,22,0.006912442396313364,3,0.0031934709526838267,0.074033452328403,"Stevens, Haley ",0,0,8297122.0,-50.069,8347.191,8397.26,17.0,304.0,10.0,DEM,MI,3,7.0,3.0,713.495,5892.369
H8NJ11142,0.06451612903225806,28,0.002304147465437788,1,0.004212683845607169,0.08394773915414687,"Sherril, Mikie ",0,0,2326612.0,-12.0,2338.612,2350.612,10.0,271.0,5.0,DEM,NJ,3,5.0,0.0,0.0,446.586
H6TX15162,0.0576036866359447,25,0.0,0,0.0026576391652306016,0.07313151768485963,"Gonzalez, Vicente",0,0,7198751.0,-31.041,7229.792,7260.833,11.0,296.0,5.0,DEM,TX,4,2.0,3.0,133.097,12.762
H8WA08189,0.0944700460829493,41,0.0,0,0.004189988921938745,0.10590877309417288,"Schrier, Kim ",0,0,10552372.0,-71.6,10623.972,10695.572,14.0,243.0,7.0,DEM,WA,3,6.0,1.0,0.156,917.76
H8MI08102,0.08755760368663594,38,0.002304147465437788,1,0.003859537190542729,0.11069935003635174,"Slotkin, Elissa ",0,0,13714918.0,-31.8,13746.718,13778.518,16.0,172.0,18.0,DEM,MI,3,15.0,3.0,170.351,916.872
H8TX07140,0.052995391705069124,23,0.10368663594470046,45,0.0023726450506456704,0.0668333891657599,"Fletcher, Lizzie",0,0,1188739.0,-34.5,1223.239,1257.739,6.0,292.0,3.0,DEM,TX,3,2.0,1.0,0.156,0.05
H8CA10126,0.06221198156682028,27,0.0,0,0.0030736445743268963,0.07890562328190288,"Harder, Josh",0,0,957541.0,-7.25,964.791,972.041,11.0,179.0,6.0,DEM,CA,3,6.0,0.0,0.0,17.871
H8ME02185,0.08525345622119816,37,0.006912442396313364,3,0.0039003187361626598,0.09279194964038032,"Golden, Jared Forrest",0,0,14648533.0,-8.0,14656.533,14664.533,9.0,149.0,4.0,DEM,ME,3,3.0,1.0,0.156,78.026
H8NJ03206,0.09216589861751152,40,0.002304147465437788,1,0.005982284769711215,0.12042667236973184,"Kim, Andy",0,0,2397616.0,-21.857,2419.473,2441.33,18.0,160.0,5.0,DEM,NJ,3,5.0,0.0,0.0,45.366
H8VA07094,0.08525345622119816,37,0.0,0,0.004240630217431572,0.11290792158948965,"Spanberger, Abigail A.",0,0,14391555.0,-35.1,14426.655,14461.755,22.0,248.0,25.0,DEM,VA,3,12.0,12.0,463.126,2416.666
H8NH01210,0.1152073732718894,50,0.0,0,0.006615311373529335,0.12660645788555241,"Pappas, Chris",0,0,10464750.0,-17.191,10481.941,10499.132,15.0,212.0,7.0,DEM,NH,3,6.0,1.0,0.156,104.984
H2NV04011,0.10599078341013825,46,0.0,0,0.005926307197315514,0.12460882945959839,"Horsford, Steven A. ",0,0,3922122.0,-21.815,3943.937,3965.752,14.0,413.0,12.0,DEM,NV,4,9.0,3.0,980.277,267.18
H2PA17079,0.1152073732718894,50,0.0,0,0.008476278776642593,0.13074912892796922,"Cartwright, Matt",0,0,8185462.0,-13.507,8198.969,8212.476,12.0,274.0,10.0,DEM,PA,6,8.0,2.0,436.626,85.737
H8CT05245,0.09216589861751152,40,0.0,0,0.004214446800543965,0.10230788270551512,"Hayes, Jahana",0,0,5146366.0,-4.0,5150.366,5154.366,12.0,212.0,4.0,DEM,CT,3,4.0,0.0,0.0,236.111
H8KS03155,0.10368663594470046,45,0.0,0,0.005632729917188199,0.13539971658388653,"Davids, Sharice",0,0,5485616.0,-35.5,5521.116,5556.616,20.0,298.0,9.0,DEM,KS,3,7.0,2.0,86.49,1471.193
H8CA49058,0.10829493087557604,47,0.0,0,0.00671575997202781,0.12816866697773308,"Levin, Mike",0,0,8052532.0,-20.107,8072.639,8092.746,16.0,201.0,11.0,DEM,CA,3,9.0,2.0,117.031,125.071
H6MN02131,0.10599078341013825,46,0.0,0,0.004382390222412937,0.11096454113166575,"Craig, Angie",0,0,11668677.0,-35.25,11703.927,11739.177,15.0,399.0,9.0,DEM,MN,3,6.0,3.0,197.655,326.402
